merchant_relation_key,abstract_sku,concrete_sku,price_type,store,currency,price_net,price_gross
mr-004,M64947,,DEFAULT,AT,EUR,10622,12640
mr-004,,102976,DEFAULT,AT,EUR,10622,12640
mr-004,M64934,,DEFAULT,AT,EUR,16428,19550
mr-004,,102988,DEFAULT,AT,EUR,16428,19550
mr-004,M40490,,DEFAULT,AT,EUR,20929,24906
mr-004,,103117,DEFAULT,AT,EUR,20929,24906
mr-004,M40491,,DEFAULT,AT,EUR,26930,32047
mr-004,,103118,DEFAULT,AT,EUR,26930,32047
mr-004,M11306,,DEFAULT,AT,EUR,12047,14336
mr-004,,103235,DEFAULT,AT,EUR,12047,14336
mr-004,M74815,,DEFAULT,AT,EUR,14178,16871
mr-004,,103296,DEFAULT,AT,EUR,14178,16871
mr-004,M66923,,DEFAULT,AT,EUR,7471,8890
mr-004,,103388,DEFAULT,AT,EUR,7471,8890
mr-004,M69408,,DEFAULT,AT,EUR,17028,20264
mr-004,,103510,DEFAULT,AT,EUR,17028,20264
mr-004,M1028049,,DEFAULT,AT,EUR,22430,26691
mr-004,,103740,DEFAULT,AT,EUR,22430,26691
mr-004,M72844,,DEFAULT,AT,EUR,51686,61506
mr-004,,103836,DEFAULT,AT,EUR,51686,61506
mr-004,M72843,,DEFAULT,AT,EUR,34432,40974
mr-004,,103838,DEFAULT,AT,EUR,34432,40974
mr-004,M72937,,DEFAULT,AT,EUR,39833,47402
mr-004,,103889,DEFAULT,AT,EUR,39833,47402
mr-004,M72938,,DEFAULT,AT,EUR,41258,49098
mr-004,,103890,DEFAULT,AT,EUR,41258,49098
mr-004,M72933,,DEFAULT,AT,EUR,31994,38074
mr-004,,103905,DEFAULT,AT,EUR,31994,38074
mr-004,M72935,,DEFAULT,AT,EUR,33419,39770
mr-004,,103907,DEFAULT,AT,EUR,33419,39770
mr-004,M26831,,DEFAULT,AT,EUR,51686,61506
mr-004,,104074,DEFAULT,AT,EUR,51686,61506
mr-004,M10577,,DEFAULT,AT,EUR,6578,7828
mr-004,,104151,DEFAULT,AT,EUR,6578,7828
mr-004,M10871,,DEFAULT,AT,EUR,7718,9186
mr-004,,104190,DEFAULT,AT,EUR,7718,9186
mr-004,M10872,,DEFAULT,AT,EUR,8191,9748
mr-004,,104192,DEFAULT,AT,EUR,8191,9748
mr-004,M11473,,DEFAULT,AT,EUR,8484,10096
mr-004,,104440,DEFAULT,AT,EUR,8484,10096
mr-004,M75071,,DEFAULT,AT,EUR,15571,18530
mr-004,,104445,DEFAULT,AT,EUR,15571,18530
mr-004,M11542,,DEFAULT,AT,EUR,7718,9186
mr-004,M11542,,ORIGINAL,AT,EUR,8576,10206
mr-004,,104517,DEFAULT,AT,EUR,7718,9186
mr-004,,104517,ORIGINAL,AT,EUR,8576,10206
mr-004,M2365,,DEFAULT,AT,EUR,19054,22674
mr-004,,104523,DEFAULT,AT,EUR,19054,22674
mr-004,M2366,,DEFAULT,AT,EUR,20525,24425
mr-004,,104524,DEFAULT,AT,EUR,20525,24425
mr-004,M526,,DEFAULT,AT,EUR,21298,25344
mr-004,,104937,DEFAULT,AT,EUR,21298,25344
mr-004,M528,,DEFAULT,AT,EUR,22107,26307
mr-004,M528,,ORIGINAL,AT,EUR,24563,29230
mr-004,,104939,DEFAULT,AT,EUR,22107,26307
mr-004,,104939,ORIGINAL,AT,EUR,24563,29230
mr-004,M79892,,DEFAULT,AT,EUR,9691,11533
mr-004,,107061,DEFAULT,AT,EUR,9691,11533
mr-004,M79932,,DEFAULT,AT,EUR,6685,7955
mr-004,,107063,DEFAULT,AT,EUR,6685,7955
mr-004,M80392,,DEFAULT,AT,EUR,13666,16263
mr-004,,107253,DEFAULT,AT,EUR,13666,16263
mr-004,,107252,DEFAULT,AT,EUR,15033,17889
mr-004,M12655,,DEFAULT,AT,EUR,13666,16263
mr-004,,107254,DEFAULT,AT,EUR,13666,16263
mr-004,M87416,,DEFAULT,AT,EUR,30137,35863
mr-004,,107273,DEFAULT,AT,EUR,30137,35863
mr-004,M87599,,DEFAULT,AT,EUR,52108,62008
mr-004,,107287,DEFAULT,AT,EUR,52108,62008
mr-004,M213,,DEFAULT,AT,EUR,19152,22790
mr-004,,107305,DEFAULT,AT,EUR,19152,22790
mr-004,M229,,DEFAULT,AT,EUR,25331,30144
mr-004,,107306,DEFAULT,AT,EUR,25331,30144
mr-004,M14054,,DEFAULT,AT,EUR,34257,40766
mr-004,,107310,DEFAULT,AT,EUR,34257,40766
mr-004,M15127,,DEFAULT,AT,EUR,19152,22790
mr-004,,107311,DEFAULT,AT,EUR,19152,22790
mr-004,M432,,DEFAULT,AT,EUR,43218,51430
mr-004,,107313,DEFAULT,AT,EUR,43218,51430
mr-004,M87464,,DEFAULT,AT,EUR,27390,32595
mr-004,,107315,DEFAULT,AT,EUR,27390,32595
mr-004,M86939,,DEFAULT,AT,EUR,14382,17114
mr-004,,107396,DEFAULT,AT,EUR,14382,17114
mr-004,M86938,,DEFAULT,AT,EUR,15827,18834
mr-004,,107403,DEFAULT,AT,EUR,15827,18834
mr-004,M90851,,DEFAULT,AT,EUR,97172,115635
mr-004,,107938,DEFAULT,AT,EUR,97172,115635
mr-004,M90810,,DEFAULT,AT,EUR,25331,30144
mr-004,,108263,DEFAULT,AT,EUR,25331,30144
mr-004,M90737,,DEFAULT,AT,EUR,11606,13811
mr-004,,108278,DEFAULT,AT,EUR,11606,13811
mr-004,M90800,,DEFAULT,AT,EUR,23958,28510
mr-004,,108287,DEFAULT,AT,EUR,23958,28510
mr-004,M90805,,DEFAULT,AT,EUR,35630,42399
mr-004,,108298,DEFAULT,AT,EUR,35630,42399
mr-004,M90806,,DEFAULT,AT,EUR,44591,53064
mr-004,,108302,DEFAULT,AT,EUR,44591,53064
mr-004,M1000785,,DEFAULT,AT,EUR,32450,38615
mr-004,,212427,DEFAULT,AT,EUR,32450,38615
mr-004,M1000786,,DEFAULT,AT,EUR,9716,11562
mr-004,,212440,DEFAULT,AT,EUR,9716,11562
mr-004,M1000838,,DEFAULT,AT,EUR,113030,134506
mr-004,,212442,DEFAULT,AT,EUR,113030,134506
mr-004,M1000839,,DEFAULT,AT,EUR,134330,159854
mr-004,,212444,DEFAULT,AT,EUR,134330,159854
mr-004,M1000840,,DEFAULT,AT,EUR,212916,253370
mr-004,,212447,DEFAULT,AT,EUR,212916,253370
mr-004,M1006484,,DEFAULT,AT,EUR,17005,20236
mr-004,,212837,DEFAULT,AT,EUR,17005,20236
mr-004,M1006811,,DEFAULT,AT,EUR,11491,13674
mr-004,,213103,DEFAULT,AT,EUR,11491,13674
mr-004,M1006871,,DEFAULT,AT,EUR,19441,23134
mr-004,,213216,DEFAULT,AT,EUR,19441,23134
mr-004,M5108,,DEFAULT,AT,EUR,7219,8591
mr-004,,400065,DEFAULT,AT,EUR,7219,8591
mr-004,M5043,,DEFAULT,AT,EUR,21500,25585
mr-004,,400072,DEFAULT,AT,EUR,21500,25585
mr-004,M5022,,DEFAULT,AT,EUR,14382,17114
mr-004,,400074,DEFAULT,AT,EUR,14382,17114
mr-004,M5113,,DEFAULT,AT,EUR,12936,15394
mr-004,,400434,DEFAULT,AT,EUR,12936,15394
mr-004,M65062,,DEFAULT,AT,EUR,118887,141476
mr-004,,400855,DEFAULT,AT,EUR,118887,141476
mr-004,M5154,,DEFAULT,AT,EUR,8781,10450
mr-004,,401627,DEFAULT,AT,EUR,8781,10450
mr-004,M5155,,DEFAULT,AT,EUR,12301,14638
mr-004,,401629,DEFAULT,AT,EUR,12301,14638
mr-004,M5147,,DEFAULT,AT,EUR,12647,15050
mr-004,,401768,DEFAULT,AT,EUR,12647,15050
mr-004,M5148,,DEFAULT,AT,EUR,17273,20554
mr-004,,401781,DEFAULT,AT,EUR,17273,20554
mr-004,M5044,,DEFAULT,AT,EUR,14245,16951
mr-004,,403006,DEFAULT,AT,EUR,14245,16951
mr-004,M70208,,DEFAULT,AT,EUR,15827,18834
mr-004,,403125,DEFAULT,AT,EUR,15827,18834
mr-004,M88184,,DEFAULT,AT,EUR,469768,559023
mr-004,,404108,DEFAULT,AT,EUR,469768,559023
mr-004,M1031236,,DEFAULT,AT,EUR,13370,15910
mr-004,,408034,DEFAULT,AT,EUR,13370,15910
mr-004,M1031238,,DEFAULT,AT,EUR,4184,4979
mr-004,,408104,DEFAULT,AT,EUR,4184,4979
mr-004,M90799,,DEFAULT,AT,EUR,27390,32595
mr-004,,410075,DEFAULT,AT,EUR,27390,32595
mr-004,M90802,,DEFAULT,AT,EUR,33570,39949
mr-004,,410083,DEFAULT,AT,EUR,33570,39949
mr-004,M1024684,,DEFAULT,AT,EUR,42495,50570
mr-004,,410090,DEFAULT,AT,EUR,42495,50570
mr-004,M1024689,,DEFAULT,AT,EUR,59696,71038
mr-004,,410102,DEFAULT,AT,EUR,59696,71038
mr-004,M90804,,DEFAULT,AT,EUR,19152,22790
mr-004,,410104,DEFAULT,AT,EUR,19152,22790
mr-004,M1080190,,DEFAULT,AT,EUR,21898,26058
mr-004,,411653,DEFAULT,AT,EUR,21898,26058
mr-004,M1079243,,DEFAULT,AT,EUR,14382,17114
mr-004,,413849,DEFAULT,AT,EUR,14382,17114
mr-004,M1079219,,DEFAULT,AT,EUR,28114,33455
mr-004,,413850,DEFAULT,AT,EUR,28114,33455
mr-004,M1079221,,DEFAULT,AT,EUR,13057,15538
mr-004,,413852,DEFAULT,AT,EUR,13057,15538
mr-004,M1079222,,DEFAULT,AT,EUR,23054,27434
mr-004,,413854,DEFAULT,AT,EUR,23054,27434
mr-004,M1028375,,DEFAULT,AT,EUR,58323,69405
mr-004,,414097,DEFAULT,AT,EUR,58323,69405
mr-004,M1028376,,DEFAULT,AT,EUR,61720,73446
mr-004,,414098,DEFAULT,AT,EUR,61720,73446
mr-004,M29455,,DEFAULT,AT,EUR,23054,27434
mr-004,M29455,,ORIGINAL,AT,EUR,25616,30482
mr-004,,419780,DEFAULT,AT,EUR,23054,27434
mr-004,,419780,ORIGINAL,AT,EUR,25616,30482
mr-004,M29456,,DEFAULT,AT,EUR,18014,21438
mr-004,,419781,DEFAULT,AT,EUR,18014,21438
mr-004,,419782,DEFAULT,AT,EUR,14411,17150
mr-004,M29468,,DEFAULT,AT,EUR,39874,47450
mr-004,,419803,DEFAULT,AT,EUR,39874,47450
mr-004,M29499,,DEFAULT,AT,EUR,2254,2682
mr-004,,419869,DEFAULT,AT,EUR,2254,2682
mr-004,M29501,,DEFAULT,AT,EUR,19522,23231
mr-004,,419871,DEFAULT,AT,EUR,19522,23231
mr-004,M29502,,DEFAULT,AT,EUR,2630,3130
mr-004,,419872,DEFAULT,AT,EUR,2630,3130
mr-004,M29503,,DEFAULT,AT,EUR,4138,4924
mr-004,,419873,DEFAULT,AT,EUR,4138,4924
mr-004,M29504,,DEFAULT,AT,EUR,22537,26819
mr-004,,419876,DEFAULT,AT,EUR,22537,26819
mr-004,M29507,,DEFAULT,AT,EUR,14999,17850
mr-004,,419880,DEFAULT,AT,EUR,14999,17850
mr-004,M29523,,DEFAULT,AT,EUR,36858,43862
mr-004,,419897,DEFAULT,AT,EUR,36858,43862
mr-004,M29524,,DEFAULT,AT,EUR,26306,31304
mr-004,M29524,,ORIGINAL,AT,EUR,29228,34782
mr-004,,419898,DEFAULT,AT,EUR,26306,31304
mr-004,,419898,ORIGINAL,AT,EUR,29228,34782
mr-004,M29525,,DEFAULT,AT,EUR,7686,9147
mr-004,,419900,DEFAULT,AT,EUR,7686,9147
mr-004,M29526,,DEFAULT,AT,EUR,7686,9147
mr-004,,419901,DEFAULT,AT,EUR,7686,9147
mr-004,M29529,,DEFAULT,AT,EUR,61952,73723
mr-004,M29529,,ORIGINAL,AT,EUR,68835,81914
mr-004,,419904,DEFAULT,AT,EUR,61952,73723
mr-004,,419904,ORIGINAL,AT,EUR,68835,81914
mr-004,M29530,,DEFAULT,AT,EUR,71120,84633
mr-004,M29530,,ORIGINAL,AT,EUR,79022,94036
mr-004,,419905,DEFAULT,AT,EUR,71120,84633
mr-004,,419905,ORIGINAL,AT,EUR,79022,94036
mr-004,M21062,,DEFAULT,AT,EUR,348,414
mr-004,,420506,DEFAULT,AT,EUR,348,414
mr-004,M21066,,DEFAULT,AT,EUR,196,234
mr-004,,420514,DEFAULT,AT,EUR,196,234
mr-004,M21067,,DEFAULT,AT,EUR,226,270
mr-004,,420520,DEFAULT,AT,EUR,226,270
mr-004,M21073,,DEFAULT,AT,EUR,447,532
mr-004,,420527,DEFAULT,AT,EUR,447,532
mr-004,M21090,,DEFAULT,AT,EUR,1459,1736
mr-004,,420549,DEFAULT,AT,EUR,1459,1736
mr-004,M21091,,DEFAULT,AT,EUR,2245,2672
mr-004,,420550,DEFAULT,AT,EUR,2245,2672
mr-004,M21092,,DEFAULT,AT,EUR,758,902
mr-004,,420551,DEFAULT,AT,EUR,758,902
mr-004,M21093,,DEFAULT,AT,EUR,2192,2609
mr-004,,420554,DEFAULT,AT,EUR,2192,2609
mr-004,M21094,,DEFAULT,AT,EUR,8345,9930
mr-004,,420555,DEFAULT,AT,EUR,8345,9930
mr-004,M21097,,DEFAULT,AT,EUR,1558,1855
mr-004,,420562,DEFAULT,AT,EUR,1558,1855
mr-004,M21099,,DEFAULT,AT,EUR,667,794
mr-004,,420565,DEFAULT,AT,EUR,667,794
mr-004,M21100,,DEFAULT,AT,EUR,1062,1263
mr-004,,420566,DEFAULT,AT,EUR,1062,1263
mr-004,M21101,,DEFAULT,AT,EUR,1622,1930
mr-004,,420567,DEFAULT,AT,EUR,1622,1930
mr-004,M21103,,DEFAULT,AT,EUR,1746,2077
mr-004,,420573,DEFAULT,AT,EUR,1746,2077
mr-004,M21104,,DEFAULT,AT,EUR,6111,7273
mr-004,,420574,DEFAULT,AT,EUR,6111,7273
mr-004,M21105,,DEFAULT,AT,EUR,1594,1896
mr-004,,420575,DEFAULT,AT,EUR,1594,1896
mr-004,M21189,,DEFAULT,AT,EUR,530,631
mr-004,,420685,DEFAULT,AT,EUR,320,384
mr-004,M21190,,DEFAULT,AT,EUR,325,387
mr-004,M21190,,ORIGINAL,AT,EUR,361,430
mr-004,,420687,DEFAULT,AT,EUR,325,387
mr-004,,420687,ORIGINAL,AT,EUR,361,430
mr-004,M21191,,DEFAULT,AT,EUR,244,290
mr-004,,420689,DEFAULT,AT,EUR,244,290
mr-004,M21193,,DEFAULT,AT,EUR,589,701
mr-004,,420691,DEFAULT,AT,EUR,589,701
mr-004,M21194,,DEFAULT,AT,EUR,390,464
mr-004,,420692,DEFAULT,AT,EUR,390,464
mr-004,M21195,,DEFAULT,AT,EUR,284,338
mr-004,,420694,DEFAULT,AT,EUR,284,338
mr-004,M21196,,DEFAULT,AT,EUR,635,756
mr-004,,420695,DEFAULT,AT,EUR,635,756
mr-004,M21197,,DEFAULT,AT,EUR,828,985
mr-004,,420696,DEFAULT,AT,EUR,828,985
mr-004,M21200,,DEFAULT,AT,EUR,290,346
mr-004,,420706,DEFAULT,AT,EUR,290,346
mr-004,M21201,,DEFAULT,AT,EUR,284,338
mr-004,,420707,DEFAULT,AT,EUR,284,338
mr-004,M21202,,DEFAULT,AT,EUR,701,834
mr-004,,420708,DEFAULT,AT,EUR,701,834
mr-004,M21203,,DEFAULT,AT,EUR,701,834
mr-004,,420709,DEFAULT,AT,EUR,701,834
mr-004,M21205,,DEFAULT,AT,EUR,165,196
mr-004,,420712,DEFAULT,AT,EUR,165,196
mr-004,M21296,,DEFAULT,AT,EUR,794,946
mr-004,,420836,DEFAULT,AT,EUR,794,946
mr-004,M21299,,DEFAULT,AT,EUR,2452,2918
mr-004,,420845,DEFAULT,AT,EUR,2452,2918
mr-004,M21635,,DEFAULT,AT,EUR,960,1142
mr-004,,421245,DEFAULT,AT,EUR,960,1142
mr-004,M21636,,DEFAULT,AT,EUR,669,796
mr-004,,421246,DEFAULT,AT,EUR,669,796
mr-004,M21637,,DEFAULT,AT,EUR,377,448
mr-004,,421247,DEFAULT,AT,EUR,377,448
mr-004,M21638,,DEFAULT,AT,EUR,463,551
mr-004,,421248,DEFAULT,AT,EUR,463,551
mr-004,M21646,,DEFAULT,AT,EUR,171,204
mr-004,,421261,DEFAULT,AT,EUR,171,204
mr-004,M21648,,DEFAULT,AT,EUR,569,677
mr-004,,421263,DEFAULT,AT,EUR,569,677
mr-004,M21650,,DEFAULT,AT,EUR,363,433
mr-004,,421265,DEFAULT,AT,EUR,363,433
mr-004,M21679,,DEFAULT,AT,EUR,417,496
mr-004,,421322,DEFAULT,AT,EUR,417,496
mr-004,M21680,,DEFAULT,AT,EUR,356,424
mr-004,,421323,DEFAULT,AT,EUR,356,424
mr-004,M21681,,DEFAULT,AT,EUR,417,496
mr-004,,421324,DEFAULT,AT,EUR,417,496
mr-004,M21684,,DEFAULT,AT,EUR,211,251
mr-004,,421327,DEFAULT,AT,EUR,211,251
mr-004,M21690,,DEFAULT,AT,EUR,417,496
mr-004,,421339,DEFAULT,AT,EUR,417,496
mr-004,,421340,DEFAULT,AT,EUR,417,496
