concrete_sku,shipment_type_key
097_27290499,delivery
098_26192836,delivery
099_27207215,delivery
100_24675726,delivery
101_29727910,delivery
102_30727008,delivery
103_30727011,delivery
104_30727010,delivery
105_30727013,delivery
106_30727014,delivery
107_30727016,delivery
108_21047360,delivery
109_19416433,delivery
110_19682159,delivery
111_12295890,delivery
112_312526171,delivery
112_312526193,delivery
112_312526191,delivery
112_306918002,delivery
112_312526172,delivery
112_312526192,delivery
112_306918001,delivery
112_306918003,delivery
113_29885591,delivery
114_29911081,delivery
114_30580483,delivery
115_27295368,delivery
115_26440118,delivery
115_26408656,delivery
116_29743424,delivery
116_28684053,delivery
117_29890338,delivery
117_30585828,delivery
118_29804739,delivery
119_29804808,delivery
120_29890350,delivery
120_30069636,delivery
120_30069631,delivery
121_29406823,delivery
121_28542963,delivery
121_28549476,delivery
122_22308524,delivery
122_26145672,delivery
123_29866607,delivery
123_30610368,delivery
123_29866603,delivery
124_31623088,delivery
124_29866591,delivery
125_30703764,delivery
125_30350012,delivery
126_24722439,delivery
126_30407844,delivery
126_26280142,delivery
127_22828284,delivery
127_22613708,delivery
127_20723326,delivery
127_22613709,delivery
128_29955336,delivery
128_27314278,delivery
129_30706500,delivery
129_27107297,delivery
129_24325712,delivery
130_29285281,delivery
130_24326086,delivery
130_24725761,delivery
131_24872891,delivery
132_30619567,delivery
133_31743669,delivery
134_29759322,delivery
134_26145012,delivery
135_29836399,delivery
135_30359386,delivery
136_24425591,delivery
137_29283479,delivery
137_29283480,delivery
138_30046855,delivery
138_30657838,delivery
139_24699831,delivery
140_22766487,delivery
141_29380410,delivery
142_30943081,delivery
143_31035196,delivery
144_29804740,delivery
144_30312874,delivery
144_29804741,delivery
145_29885470,delivery
145_29885471,delivery
145_29885473,delivery
146_30706737,delivery
146_30213351,delivery
147_27295351,delivery
147_30046188,delivery
148_25977678,delivery
148_25977676,delivery
148_27282150,delivery
149_30283566,delivery
149_28346778,delivery
150_29554292,delivery
151_30983682,delivery
152_27104941,delivery
152_29810130,delivery
153_26178487,delivery
153_29805122,delivery
153_29805124,delivery
154_31980499,delivery
154_31266921,delivery
155_32122450,delivery
155_30149933,delivery
156_32018944,delivery
157_29525342,delivery
158_29885222,delivery
159_29885260,delivery
159_29885269,delivery
160_29533301,delivery
161_29533300,delivery
162_29533299,delivery
163_29728850,delivery
164_29565390,delivery
165_29879507,delivery
165_29879528,delivery
166_30230575,delivery
166_29565389,delivery
167_30375366,delivery
167_30375364,delivery
168_29379693,delivery
168_21844742,delivery
169_25880805,delivery
170_28516206,delivery
170_28549472,delivery
171_27262160,delivery
172_29801891,delivery
173_26973306,delivery
174_27253016,delivery
175_26564922,delivery
175_26935356,delivery
176_29209306,delivery
176_29381409,delivery
176_29536449,delivery
177_24867659,delivery
177_24422865,delivery
177_25913296,delivery
178_29658415,delivery
179_29658416,delivery
180_32127058,delivery
181_31995510,delivery
182_30345097,delivery
183_21811723,delivery
184_17365820,delivery
184_17494387,delivery
184_17560323,delivery
185_25904533,delivery
186_25904506,delivery
187_26306352,delivery
188_26306353,delivery
189_30150732,delivery
190_25111746,delivery
191_17681791,delivery
192_17738941,delivery
193_32124735,delivery
194_25904145,delivery
195_25904159,delivery
196_23120327,delivery
197_21421718,delivery
198_19692589,delivery
199_7016823,delivery
199_24788780,delivery
200_5787536,delivery
201_11217755,delivery
202_5782479,delivery
203_15619960,delivery
204_29851280,delivery
205_6350138,delivery
206_6429825,delivery
207_15721464,delivery
208_14678762,delivery
209_12554247,delivery
210_123,delivery
211_123,delivery
212_123,delivery
213_123,delivery
214_123,delivery
215_123,delivery
215_124,delivery
216_123,delivery
217_123,delivery
217_1231,delivery
218_123,delivery
218_1230,delivery
218_1231,delivery
218_1232,delivery
218_1233,delivery
218_1234,delivery
219_01,delivery
666_124,delivery
666_125,delivery
666_126,delivery
666_127,delivery
666_128,delivery
666_129,delivery
666_130,delivery
666_131,delivery
666_132,delivery
666_133,delivery
fish-1-1,delivery
potato-1-1,delivery
cable-hdmi-1-1,delivery
cable-hdmi-1-2,delivery
cable-vga-1-1,delivery
service-001-1,in-center-service
service-002-1,in-center-service
service-003-1,in-center-service
service-004-1,in-center-service
service-004-1,on-site-service
