abstract_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US
M1014656,464007,Paletthubwagen mit Waage - Tragfähigkeit 2000 kg - Räder Polyurethan,Palette lifting truck with balance - Load capacity 2000 kg - wheels polyurethane," Verwindungssteife Stahlkonstruktion. Rad-Ø der Lenkräder 200 mm. Hochwertig pulverbeschichtet, signalblau RAL 5005.<br/><B>Besonders flache Gabel für Güter mit geringer Unterfahrhöhe von nur 55 mm.</B> "," Torsion-resistant steel construction. Wheel Ø of the steering wheels 200 mm. High-quality powder-coated, signal blue RAL 5005.<br/><B>Particularly flat fork for goods with low ground clearance of only 55 mm.</B> ",1,1,,,,,,,,,,,,,,
M1000840,212447,"HSM Aktenvernichter SECURIO - für Großraumbüro, 205 l - Partikel, 39 – 41 Blatt","HSM SECURIO document shredder - for large offices, 205 l, 39 – 41 sheets"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. "," HSM SECURIO in traffic white, RAL 9016. – Multi-function button, reverse button and installed key lock<br/>– Automatic reversing in case of paper jam<br/>– Fill level display through viewing window<br/>– Automatic oiler for the cutting system by particle cutting devices<br/><B>With EMCS (Energy Management Control System)</B><br/>Up to 90% energy savings in comparison to usual stand-by switching.<br/><B>Switches off in two stages:</B><br/>– 2 minutes after use, the device automatically switches into energy-saving sleep mode<br/>– 1 hour after use, the device switches off completely<br/>Thus, at night and on weekends no power is used.<br/>With<B>PAPERcontrol</B> to check the maximal paper amount and to avoid paper jams. ",1,1,,,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel,zerkleinerungsart,Particle,,,,,,
M1014948,101509,Smit Visual Flipchart - für Doppel-Schienensystem - HxB 1000 x 700 mm,Smit visual flipchart - for double rail system - HxW 1000 x 700 mm,"Höhenverstellbare Arbeitsfläche aus Stahlblech 700 x 1000 mm, magnethaftend, trocken abwischbar. Aufhängepunkte der Flipchartklemme verstellbar, somit für alle handelsüblichen Flipchartblöcke passend. Tafelrahmen aus weiß beschichtetem Aluminium.<br/><br/><B>Ob an nur einer Wand oder im ganzen Raum, dieses System macht es möglich.</B><br/>Die einzelnen Komponenten werden einfach ein- bzw. ausgehängt. Das Doppelschienen-System ermöglicht ein leichtgängiges Übereinanderschieben der Tafeln. Spezielle Abstandshalter halten sie stets senkrecht und erschütterungsfrei.<p>","Height-adjustable steel sheet work surface 700 x 1000 mm, magnet-adhering, wipeable dry. Attachments points of the flip chart terminal are adjustable, as well as suitable for all customary flipchart pads. Panel frame made of white coated aluminum.<br/><br/><B>Whether just on a wall, or throughout the entire room, this system makes it possible.</B><br/>The individual components can be easily mounted or unhooked. The double-rail system makes it possible for the panels to easily slide over one another. Special spacers keep them always upright and free from vibrations.<p>",1,1,,,,,,,,,,,,,,
M1896,506670,Wolf Garderobe - lichtgrau RAL 7035 - mit 20 Kleiderbügeln,Wolf wardrobe - light gray RAL 7035 - with 20 clothes hangers,"Stabile, geschweißte Stahlblechkonstruktion, einbrennlackiert. Hutboden mit Rückwand, darunter Kleiderstange aus Ovalrohr schwarz, kunststoffbeschichtet. Buchenholzkleiderbügel schwarz mit vernickeltem Standardhaken.<p>","Stable, welded sheet steel construction, stove-enameled. Hat shelf with rear wall, clothes rail made of black oval pipe, plastic-coated. Black beechwood hangers with nickel-plated standard hooks.<p>",1,1,,,fahrbar,Nein,fahrbar,Nein,fahrbar,No,,,,,,
M856,508165,Wolf Stahlschrank - Unterkunftschrank mit Stollenfüßen - lichtblau RAL 5012,Wolf steel cabinet - accommodation wardrobe with stud feet - light blue RAL 5012," Geschweißtes, einbrennlackiertes Stahlblechgehäuse. Belüftung durch Lochbild in der Rückwand. <B>Innenausstattung</B><br/>Links: 4 Fachböden, fest eingeschweißt.<br/>Rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken.<br/><br/>Lüftungsschlitze, Drehriegel für Vorhängeschloss mit Bügelstärke 6 mm, Stollenfüße 150 mm hoch. "," Welded, stove-enameled sheet steel housing. Aeration through hole pattern in the rear wall. <B>Inner outfitting</B><br/>Left: 4 shelves, firmly shrink-wrapped<br/>Right: 1 hat shelf, 1 clothes rail, 3 sliding hooks.<br/><br/>Air vents, twist lock for padlock with shackle thickness 6 mm, stud feet 150 mm in height. ",1,1,,,fahrbar,Nein,fahrbar,Nein,fahrbar,No,,,,,,
M1030133,575284,"FRIWA Kunststoffschalenstuhl - Gestell verchromt - Sitzschale grau, VE 2 Stk","FRIWA plastic shell chair - Substructure chromed - seat shell gray, VE 2 pieces"," Vielseitig verwendbar und platzsparend stapelbar.<br/>Sitzschale aus pflegeleichtem Polypropylen. Mit verstärktem Rand und Prägungen, rückseitig Verstärkungsstreben.<br/>Rundrohrgestell verchromt, Ø 16 / 2 mm.<br/><B>Sitzmaße</B><br/>Höhe x Breite x Tiefe 475 x 455 x 400 mm.<br/><B>Gesamtmaße</B><br/>Höhe x Breite x Tiefe 830 x 530 x 500 mm.  "," Usable in many ways and stackable to save space.<br/>Seat shell made of easy-to-care-for polypropylene. With reinforced edge and imprints, rear reinforcement elements.<br/>Chromed steel pipe substructure, Ø 16 / 2 mm.<br/><br/Seat dimensions</B><br/>Height x Width x Depth 475 x 455 x 400 mm.<br/><br/><B>Overall dimensions</B><br/>Height x Width x Depth 830 x 530 x 500 mm.  ",1,1,,,,,,,,,,,,,,
M1028095,574969,"IDEAL Aktenvernichter klein, SHREDCAT - Auffangvolumen 18 l - Partikelschnittart","IDEAL document shredder, small, SHREDCAT - Collecting volume 18 l - Particle cut type"," Preiswerter Schreibtisch-Aktenvernichter mit automatischem Start / Stopp. Betriebsanzeige über LED.<br/>Automatischer Nullstrom-Verbrauch im EcoMode. Leiser und starker Motor.<br/>Schnittgutbehälter mit Sichtfenster als Füllstandsanzeige. Abschaltautomatik für sicheres Entleeren.  "," Affordable desk document shredder with automatic start/stop Operating display via LED.<br/>Automatic zero-current consumption in EcoMode. Quiet and strong motor.<br/>Shred container with viewing window as fill level display. Automatic switch-off for safe emptying.  ",1,1,,,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel,zerkleinerungsart,Particle,,,,,,
M21067,420520,"Post-it Haftstreifen Index Symbol 680-31 25,4x43,2mm 50Blatt gelb","Post-it adhesive stripes index, symbol 680-31 25.4x43.2 mm 50 sheets yellow","Dank ihrer signalstarken, gelben Farbe sieht man die Symbolfähnchen auf einen Blick.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * Werkstoff: Polyester  * Farbe: gelb * 50 Bl.","Thanks to its signal-strong, yellow color, you can see the symbol flags at a glance.<p>* Dimensions: 25.4 x 43.2 mm (WxH) * inscribable * Material: Polyester * Color: yellow * 50 sheets",1,1,,,,,,,,,,,,,,
M21189,420685,Post-it Haftnotiz Super Sticky Meeting Notes 6445-4SS 4 St./Pack.,Post-it stick note Super Sticky Meeting Notes 6445-4SS 4 pieces/pack,"Dank der Super Sticky Formel haften die Post-it® Super Sticky Meeting Notes sicher, auf praktisch allen Oberflächen.<p>* Grammatur: 74 g/m² * elementar chlorfrei gebleicht * rückstandsfrei entfernbar * mehrfach verwendbar * Werkstoff: Primärfaserpapier * Farbe: 1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb * 45 Bl./Block * 4 Block/Pack.","Thanks to the Super Stick formula, Post-it® Super Sticky Meeting Notes stick securely to practically all surfaces.<p>* Weight: 74 g/m² * primarily bleached chlorine-free * removable without residue * usable in many ways * Material: Primary-fiber paper * Color: 1 x neon green, 1 x neon orange, 1 x ultra pink, 1 x ultra yellow * 45 sheets/block * 4 blocks/pack.",1,1,,,,,,,,,,,,,,
M21190,420687,Post-it Haftstreifen Index Strong 686-F1EU 4Blatt sortiert 4 St./Pack,"Post-it Index Strong adhesive stripes, 686-F1EU 4 sheets sorted, 4 pieces/pack"," Die flachen Post-it® Index Strong, mit ihrem weißen Schriftfeld, sind ideal für Ordner - individuelle Register lassen sich schnell erstellen.  "," The smooth Post-it® Index Strong, with their white writing areas, are ideal for folders - individual registers can be quickly recognized.  ",1,1,,,,,,,,,,,,,,
M21191,420689,Post-it Haftstreifen Index Standard 680ROYEU 20Blatt farbig 3 St./Pack,"Post-it adhesive stripes Index Standard, 20 sheets, colored, 3 pieces/pack","Haftstreifen Index Standard. Signalstark, mit transparentem, beschriftbarem Klebeteil, selbsthaftend, ablösbar, immer wieder verwendbar, im transparenten Etui.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * Werkstoff: Polyester * 20 Bl./Block * 3 Block/Pack.","Index Standard adhesive stripes. Strong in signal, with transparent, inscribable adhesive part, self-adhering, removable, always reusable, in transparent case.<p>* Dimensions: 25.4 x 43.2 mm (WxH) * inscribable * usable in many ways * Material: Polyester * 20 sheets/block * 3 blocks/pack.",1,1,,,,,,,,,,,,,,
M21193,420691,Post-it Heftstreifen Index Mini Promotion 683-VAD1 farbig +2 684,Post-it Index Mini Promotion adhesive stripes 683-VAD1 colored +2 684,"Mit diesem Vorteilspack sind Sie perfekt zum Markieren und Strukturieren ausgerüstet. Verschiedenfarbige Post-it® Haftstreifen Index Mini sorgen für ein schnelles Wiederfinden von Informationen. Die extraschmalen Haftstreifen markieren wichtige Stellen in Ihren Dokumenten, Büchern oder Katalogen. Dank ihrer signalstarken Farben sieht man die Markierungsfähnchen auf einen Blick.<p>* Maße: 11,9 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * inkl. 2 x 24 Haftstreifen Post-it® Index Pfeile gratis * Werkstoff: Polyester * Farbe: rot, gelb, grün, blau, lemon, lila, pink, türkis * 35 Bl./Block * 10 Block/Pack.","With this economy pack, you’re perfectly equipped for marking and structuring. Variety-colored Post-it® Index Mini adhesive stripes allow you to easily retrieve information. The extra-slim adhesive stripes mark important places in your documents, books, or catalogs. Thanks to their signal-strong, yellow color, you can see the symbol flags at a glance.<p>* Dimensions: 11.9 x 43.2 mm (W x H) * inscribable * usable in many ways * including 2 x 24 adhesive stripes Post-it® Index arrows free * Material: Polyester * Color: red, yellow, green, blue, lemon, lilac, pink, turquoise * 35 sheets/block * 10 blocks/pack.",1,1,,,,,,,,,,,,,,
M21638,421248,Oxford Collegeblock Activebook 100101421 DIN A4 kariert 90Blatt,"Oxford Collegeblock Activebook 100101421 DIN A4, checkered, 90 sheets","Satiniertes Papier (Optik Paper), hochweiß. Zweifarbiger Polypropylen-Deckel, flexibel und strapazierfähig. Farbig sortiert (blau, grün, rot, violett und grau). Mit elegantem Metallic-Effekt.<p>* DIN A4 * Grammatur: 90 g/m² * elementar chlorfrei gebleicht * Doppelspiralbindung * inkl. Lesezeichenlineal * Material des Einbandes: Polypropylen * 90 Bl.","Satin coated paper (optic paper), pure white. Two-color polypropylene cover, flexible and durable. Arranged by color (blue, green, red, purple and gray). With an elegant metallic effect.<p>* DIN A4 * Weighting: 90 g/m² *primarily bleached chlorine-free * double spiral binding * including bookmark straightedge * Cover material: Polypropylene * 90 sheets",1,1,,,papierformat,DIN A4,papierformat,DIN A4,papierformat,DIN A4,,,,,,
M21646,421261,"BIC Mehrfarbkugelschreiber 4 Colours 831253 0,4mm bl/sw/r/gn",BIC multi-color ballpoint pen 4 colors 831253 0.4 mm blue/black/red/green,"Farbige Drücker für eine einfache Farbauswahl. Schreiblänge nach SGS-Schreiblängentest durchschnittlich 8 km. Dokumentenecht sind die Schreibfarben rot, schwarz und blau.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: 4 Colours Mine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: schwarz * 4 Minen","Colored printer for simple color selection. Writing on average 8 km according to SGS writing length test. The colors red, black, and blue are permanent.<p>* Line width: 0.4 mm * red, blue, green, black * Type designation of the refill: 4-color refill * refill can be exchanged * pressure mechanics * shaft material: Plastic * shaft color: black * 4 refills",1,1,,,,,,,,,,,,,,
M21759,421511,Parker Kugelschreiber URBAN Premium S0911450 M Mine blau,"Parker ballpoint pen URBAN Premium S0911450 M refill, blue","In Transparent-Farbtönen mit leicht gewölbtem Korpus.<p>* Strichstärke: 0,5 mm * Typbezeichnung der Mine: Slider 774 * Mine auswechselbar * Druckmechanik * dokumentenecht * Ausführung der Griffzone: rund * Material der Spitze: Edelstahl",In transparent color tones with lightly curved body.<p>* Line width: 0.5 mm * type designation of the refill: Slider 774 * refill exchangeable * printing mechanism * waterproof * design of the grip zone: round * tip material: stainless steel,1,1,,,,,,,,,,,,,,
M21773,421533,"rotring Tuschefüller rapidograph S0203150 1903476 0,18mm rot","rotring fountain pen rapidograph S0203150 1903476, 0.18 mm, red","Kapillarpatrone mit optimalem Druckausgleich.<p>* Schreibfarbe: schwarz * Typbezeichnung der Tintenpatrone: Kapillarpatrone * Verwendung für Zeichnungsträger: Papier, Karton, Transparentpapier  * Spitze austauschbar * mit ISO-Kennzeichnung","Ink helix with optimal pressure equalization.<p>* Writing color: black * Type designation of the ink cartridge: Ink helix * Use for drawing boards: Paper, cardboard, tracing paper * tip replaceable * with ISO designation",1,1,,,kombiradierer,Nein,kombiradierer,Nein,kombiradierer,No,,,,,,
M21774,421534,"rotring Multifunktionsstift Tikky 3 in 1 Multipen FM 0,5 mm sw/rot",rotring multi-function pen Tikky 3 in 1 multipen FM 0.5 mm black/red,"Modernes Design. Für Schalter und Büros mit Publikumsverkehr, in Banken und Behörden. Sicherer Stand. Dokumentenechte Mine. Aufschrauben auf Tischplatten möglich.<p>* Maße: 10,8 x 4 x 11,2 cm (B x H x T) * mit Anbindung für Stift * Länge der Anbindung: 40 cm * dokumentenecht * 1 Stifthalterung * Werkstoff: Kunststoff * Material der Anbindung: Metall","Modern design. For desks and offices with public traffic, in banks and public agencies. Secure stand. Waterproof refill. Unscrewing possible on table plates.<p>* Dimensions: 10.8 x 4 x 11.2 cm (W x H x D) * with connection for pen * Length of the connection: 40 cm * waterproof * 1 pen holder * material: plastic * connection material: metal",1,1,,,,,,,,,,,,,,
M21779,421540,Veloflex Tischflipchart 4132280 DIN A3 quer 4Ringe 10Hüllen schwarz,"Veloflex table flipchart 4132280 DIN A3 crosswise 4 rings, 10 covers, black","Höhenverstellbare Arbeitsfläche aus Stahlblech 700 x 1000 mm, magnethaftend, trocken abwischbar. Aufhängepunkte der Flipchartklemme verstellbar, somit für alle handelsüblichen Flipchartblöcke passend. Tafelrahmen aus weiß beschichtetem Aluminium.<br/><br/><B>Ob an nur einer Wand oder im ganzen Raum, dieses System macht es möglich.</B><br/>Die einzelnen Komponenten werden einfach ein- bzw. ausgehängt. Das Doppelschienen-System ermöglicht ein leichtgängiges Übereinanderschieben der Tafeln. Spezielle Abstandshalter halten sie stets senkrecht und erschütterungsfrei.<p>","Height-adjustable steel sheet work surface 700 x 1000 mm, magnet-adhering, wipeable dry. Attachments points of the flip chart terminal are adjustable, as well as suitable for all customary flipchart pads. Panel frame made of white coated aluminum.<br/><br/><B>Whether just on a wall, or throughout the entire room, this system makes it possible.</B><br/>The individual components can be easily mounted or unhooked. The double-rail system makes it possible for the panels to easily slide over one another. Special spacers keep them always upright and free from vibrations.<p>",1,1,,,,,,,,,,,,,,
