key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translations.en_US,value_translations.de_DE
gestellausfuhrung,text,yes,no,,Substructure version,Gestellausführung,,
gestellfarbe,text,yes,no,,Substructure color,Gestellfarbe,,
hohenverstellbereich_mm,text,yes,no,,"Height adjustment area, mm","Hohenverstellbereich, mm",,
gegendruckeinstellung,text,yes,no,,Counter-pressure adjustment,Gegendruckeinstellung,,
ausfuehrung_sitzschale,text,yes,no,,Implementation seat shell,Ausführung Sitzschale,,
unterbau,text,yes,no,,Substructure,Unterbau,,
gestellmaterial,text,yes,no,,Substructure material,Gestellmaterial,,
hoehenverstellung,text,yes,no,,Height adjustment,Höhenverstellung,,
elektrifizierungv2,text,yes,no,,Electrification,Elektrifizierung,,
plattenform,text,yes,no,,Panel form,Plattenform,,
radlagerung,text,yes,no,,Wheel bearing,Radlagerung,,
klappbar,text,yes,no,,Foldable,Klappbar,,
gelaender,text,yes,no,,Railings,Geländer,,
ausfuehrung_waage,text,yes,no,,Implementation balance,Ausführung Waage,,
kurzbezeichnung_moebel,text,yes,no,,Brief description furniture,Kurzbezeichnung Möbel,,
gabellange_mm,text,yes,no,,"Fork length, mm","Gabellange, mm",,
lastrollenausfuhrung,text,yes,no,,Loading wheel design,Lastrollenausführung,,
lastrollenmaterial,text,yes,no,,Loading wheel material,Lastrollenmaterial,,
lenkraddurchmesser_mm,text,yes,no,,"Steering wheel diameter, mm","Lenkraddurchmesser, mm",,
lenkradmaterial,text,yes,no,,Steering wheel material,Lenkradmaterial,,
gabelbreite_mm,text,yes,no,,"Fork width, mm","Gabelbreite, mm",,
gesamtlange_mm,text,yes,no,,"Overall length, mm","Gesamtlänge, mm",,
hubbereich_mm,text,yes,no,,"Lift area, mm","Hubbereich, mm",,
ausstattung_waagen,text,yes,no,,Equipment balances,Ausstattung Waagen,,
gewicht_kg,text,yes,no,,"Weight, kg","Gewicht, kg",,
tafelmaterial,text,yes,no,,Panel material,Tafelmaterial,,
radausstattung,text,yes,no,,Wheeling equipping,Radausstattung,,
selbstkleben,text,yes,no,,Self-adhesive,Selbstklebend,,
stapelverarbeitbar,text,yes,no,,Workable in stacks,Stapelverarbeitbar,,
innendruck_vorhanden,text,yes,no,,Internal pressure available,Innendruck vorhanden,,
seitenzahl_vorhanden,text,yes,no,,Number of pages available,Seitenzahl vorhanden,,
beidseitig_bedruckbar,text,yes,no,,Printable on both sides,Beidseitig bedruckbar,,
mit_beschriftungsfeld,text,yes,no,,With labeling field,Mit Beschriftungsfeld,,
batterie,text,yes,no,,Battery,Batterie,,
bedruckbar,text,yes,no,,Inscribable,Bedruckbar,,
rutschfest,text,yes,no,,Anti-slip,Rutschfest,,
clip_vorhanden,text,yes,no,,Clip available,Clip vorhanden,,
griff_vorhanden,text,yes,no,,Grip available,Griff vorhanden,,
papierausfuehrung,text,yes,no,,Paper design,Papierausführung,,
wischfest,text,yes,no,,Smudge-resistant,Wischfest,,
abwischbar,text,yes,no,,Wipeable,Abwischbar,,
wasserfest,text,yes,no,,Watertight,Wasserfest,,
nachfuellbar,text,yes,no,,Refillable,Nachfüllbar,,
schreibfarbe,text,yes,no,,Writing color,Schreibfarbe,,
werkstoff,text,yes,no,,Material,Werkstoff,,
einstecktaschen,text,yes,no,,Pockets,Einstecktaschen,,
material_des_einbandes,text,yes,no,,Material of the binding,Material des Einbandes,,
ausfuehrung_der_bindung,text,yes,no,,Design of the binding,Ausfuehrung der Bindung,,
greifausschnitt_vorhanden,text,yes,no,,Grip section available,Greifausschnitt vorhanden,,
beschriftungsschild_vorhanden,text,yes,no,,Inscription label available,Beschriftungsschild vorhanden,,
dokumentenecht,text,yes,no,,Waterproof,Dokumentenecht,,
kombiradierer,text,yes,no,,Combination eraser,Kombiradierer,,
minenbuechse_vorhanden,text,yes,no,,Refill busing available,Minenbüchse vorhanden,,
aufhaengeloch_vorhanden,text,yes,no,,Hanging hole available,Aufhängeloch vorhanden,,
millimeterfacette_vorhanden,text,yes,no,,Millimeter facet available,Millimeterfacette vorhanden,,
farbig_hinterlegte_winkelgrade_vorhanden,text,yes,no,,Color deposited angle degree available,Farbig hinterlegte Winkelgrade,,
deckel,text,yes,no,,Cover,Deckel,,
gefuellt,text,yes,no,,Filled,Gefüllt,,
auszugsperre,text,yes,no,,Blocking device,Auszugsperre,,
verpackung,text,yes,no,,Packaging,Verpackung,,
ablagebrett,text,yes,no,,Additional shelf,Ablagebrett,,
magnethaftend,text,yes,no,,Magnet-adhering,Magnethaftend,,
hoehenverstellbar,text,yes,no,,Height-adjustable,Höhenverstellbar,,
ausfuehrung_fuss,text,yes,no,,Design foot,Ausführung Fuß,,
art_der_betaetigung,text,yes,no,,Type of the confirmation,Art der Betätigung,,
verwendbares_schnittgut,text,yes,no,,Usable cuttings,Verwendbares Schnittgut,,
zertifikate_und_zulassungenv2,text,yes,no,,Certificates and approvals,Zertifikate und Zulassungen,,
reissverschluss_vorhanden,text,yes,no,,Zipper detail_available,Reissverschluss vorhanden,,
verschlussart,text,yes,no,,Type of closure,Verschlussart,,
radausfuehrung,text,yes,no,,Wheel design,Radausführung,,
ausfuehrung_deckel,text,yes,no,,Design cover,Ausführung Deckel,,
ruckenlehnenhohe_mm,text,yes,no,,"Backrest height, mm","Ruckenlehnenhöhe, mm",,
ausfuhrung_sitzschale,text,yes,no,,Design seat shell,Ausführung Sitzschale,,
polsterung,text,yes,no,,Upholstery,Polsterung,,
sitzflachen-_u_lehnenmaterial,text,yes,no,,Seat surface and backrest material,Sitzflachen-und Lehnenmaterial,,
bezugsfarbe,text,yes,no,"bordeaux,schwarz,grau,schwarz,grau",Cover color,Bezugsfarbe,"bordeaux,black,gray,black,gray","bordeaux,schwarz,grau,schwarz,grau"
gesamtbreite_mm,text,yes,no,,"Overall width, mm","Gesamtbreite, mm",,
gesamthohe_mm,text,yes,no,,"Overall height, mm","Gesamthöhe, mm",,
gesamttiefe_mm,text,yes,no,,"Overall depth, mm","Gesamttiefe, mm",,
zerkleinerungsart,text,yes,no,,Shredding type,Zerkleinerungsart,,
packaging_unit,text,no,no,"Item,5-pack,10-pack,Box",Packaging unit,Verpackungseinheit,,
bundled_product,text,no,no,"Yes, No",Bundled Product,Bündelprodukt,"Yes, No","ja, nein"
papierformat,text,no,no,"kariert,liniert",Paper Format,Papier Format,"checkered,lined","kariert,liniert"
backrest_height,number,no,no,"400,580","Backrest height, mm","Rückenlehnenhöhe, mm",,
size,text,yes,no,"800 x 800,1200 x 600,1200 x 800,1400 x 700,1500 x 800,1600 x 800,500 x 930 x 400,500 x 930 x 500,500 x 1200 x 400,500 x 1200 x 500","Size, mm","Größe, mm","800 x 800,1200 x 600,1200 x 800,1400 x 700,1500 x 800,1600 x 800,500 x 930 x 400,500 x 930 x 500,500 x 1200 x 400,500 x 1200 x 500","800 x 800,1200 x 600,1200 x 800,1400 x 700,1500 x 800,1600 x 800,500 x 930 x 400,500 x 930 x 500,500 x 1200 x 400,500 x 1200 x 500"
"max-length","number","yes","no",,"Maximum length (cm)","Maximale Länge (cm)",,
"common-length","number","yes","no",,"Common length (cm)","Gemeinsame Länge (cm)",,
"max-weight","number","yes","no",,"Maximum weight (kg)","Maximales Gewicht (kg)",,
"common-weight","number","yes","no",,"Common weight (kg)","Gemeinsames Gewicht (kg)",,
upcs,select,yes,yes,,UPCs,UPCs,,
pc_operating_system,multiselect,no,yes,"Windows 11,Windows 10,Ubuntu,Debian,macOS Sonoma,macOS Ventura",PC Operating System,PC-Betriebssystem,,
