"product","relation_type","rule"
"M1006484","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M74972,M74974,M1000786,M1000838,M1000839,M1000840,M302,M75601,M57966,M57968""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1006811","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1006810,M86939,M86938,M1000645,M49218,M1027987,M1027988,M1027989,M1027990""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1006871","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1006881,M72843,M72844,M72859,M72861,M72882,M72892,M72899,M72901,M72905,M1006843,M1006844,M1006845,M1006846,M1006878""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1006871","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11110,M11109,M11105,M69374,M69376,M57828,M57829,M57830,M1006652,M1006653""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1013168","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1013166,M62670,M1025209,M1031240""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1013168","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M7134,M1031469""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1013168","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11222,M39654,M1013170,M1015812,M1015814,M1015815,M1016133,M1016136""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1013287","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1079243,M39658,M15226,M1013541""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1013541","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1079243,M1013287,M15226,M39658,M1016129""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014496","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1015345,M75254""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014496","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1000567,M87656,M87658,M87657,M1025370,M634,M635,M636,M74966,M1014502""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014502","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1015345,M75254""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014502","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1025370,M1000567,M87656,M87657,M87658,M634,M635,M636,M74966,M1014496""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014629","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028702,M1024601,M1028699,M1014642,M1014643,M1014644,M75168,M88059,M1014645,M1014646,M1014653,M1015355,M1015356,M1015353,M1080605,M1014628""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014642","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014643,M1014644,M1028699,M1028702,M1014628,M1014629,M75168,M88059,M1014645,M1014646,M1014653""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014643","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014629,M1014628,M75168,M88059,M1014645,M1014646,M1014653,M1014642,M1014644,M1028702,M1028699""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014644","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028699,M1028702,M1014628,M1014629,M75168,M88059,M1014645,M1014646,M1014653,M1014642,M1014643""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014645","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75168,M88059,M1014646,M1028702,M1028699,M1024601,M1014642,M1014643,M1014644,M1014628,M1014629,M1014653,M1015355,M1015356,M1015353,M1080605""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014646","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1080605,M75168,M1014645,M88059,M1014642,M1014643,M1014644,M1014628,M1014629,M1014653,M1015355,M1015356,M1015353,M1024601,M1028699,M1028702""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014653","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028702,M1028699,M1024601,M1080605,M75168,M88059,M1014645,M1014646,M1014628,M1014629,M1014642,M1014643,M1014644,M1014656,M1015355,M1015356,M1015353""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014656","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M88181,M88182,M1014653,M88184,M65062""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014866","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014862""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014866","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10063,M10064,M1000784,M1000785,M11542,M11543,M2365,M2366,M2367,M1014863,M1014864,M1014865,M1014867,M1014869,M1014868,M1014870,M1014871,M1014872,M1014873,M1014874,M1014875,M1014876,M1014877,M1014878,M1028336""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014870","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014862""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014870","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10063,M10064,M1000784,M1000785,M11542,M11543,M2365,M2366,M2367,M1014863,M1014864,M1014865,M1014866,M1014867,M1014868,M1014869,M1014871,M1014872,M1014873,M1014874,M1014875,M1014876,M1014877,M1014878,M1028336""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014871","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014862""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014871","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10063,M10064,M1000784,M1000785,M11542,M11543,M2365,M2366,M2367,M1028336,M1014863,M1014864,M1014865,M1014866,M1014867,M1014868,M1014869,M1014870,M1014872,M1014873,M1014874,M1014875,M1014876,M1014877,M1014878""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014874","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1014862""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014874","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10063,M10064,M1000784,M1000785,M11542,M11543,M2365,M2366,M2367,M1014863,M1014864,M1014865,M1014866,M1014867,M1014868,M1014869,M1014870,M1014871,M1014872,M1014873,M1014875,M1014876,M1014877,M1014878,M1028336""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014948","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M10945,M7134,M7133""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014948","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M14090,M7134,M7133,M10945""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1014948","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11222,M39654,M1015814,M1015815,M1016136""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1015355","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028699,M1024601,M1028702,M1080605,M1015356,M75168,M88059,M1014645,M1014646,M1014653,M1015353,M1014628,M1014629""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1015356","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M75168,M88059,M1014645,M1014646,M1014653,M1015353,M1014628,M1014629,M1080605,M1028702,M1028699,M1024601,M1015355""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1016129","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1016133""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1016129","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1079243,M1013541,M15226,M39658""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017902","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11382""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017902","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028392,M1028393,M1028394,M1028396,M13740,M13741,M13743,M13744,M90801,M90803,M1080396,M1080399,M1080400""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017902","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M72942,M72943,M72944,M72945,M72937,M72938,M72939,M72940,M72933,M72935,M1017905,M1017906""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017905","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11382""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017905","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028392,M1028393,M1028394,M1028396,M13740,M13741,M13743,M13744,M90801,M90803,M1080396,M1080399,M1080400""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017905","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1017902,M1017906,M72942,M72943,M72944,M72945,M72937,M72938,M72939,M72940,M72933,M72935""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017945","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M11382""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017945","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1017932,M1017936,M1017942,M1017947""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1017945","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M45007,M45008""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1018211","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M56424""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1018211","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90737,M40491,M12655,M87416,M731,M1018212""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1018212","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M763,M39302,M58040,M1025321""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1018212","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58035,M58036,M58037,M58038""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1018212","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90810,M213,M226,M229,M14054,M15127,M87416,M87464,M90799,M90800,M90802,M90804,M90805,M90806,M53277,M1012338,M62381,M1018211,M731,M1024684,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022632","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1022640,M1022643,M1022647,M1022649,M1022654,M1022656,M1022658,M1022659""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022632","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M72933,M72935,M90776""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022640","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1022632,M1022643,M1022647,M1022649,M1022654,M1022656,M1022658,M1022659""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022640","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90826,M90827""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022643","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1022632,M1022640,M1022647,M1022649,M1022654,M1022656,M1022658,M1022659""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1022643","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1006652,M1006653,M57828""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024601","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1015355,M1015356,M1028699,M1028702,M75168,M88059,M1014645,M1014646,M1014653,M1015353,M1014628,M1014629,M1080605""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024684","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90812,M90813""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024684","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M213,M226,M229,M14054,M15127,M87416,M87464""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024684","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M58035,M58036,M58037,M58038,M731,M1018212,M62584,M12655,M90799,M90800,M90802,M90804,M90805,M90806,M1024689""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024689","related-products","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90814,M90815""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024689","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M213,M226,M229,M14054,M15127,M87416,M87464""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1024689","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M90799,M90800,M90802,M90804,M90805,M90806,M1024684,M58035,M58036,M58037,M58038,M731,M1018212,M62584,M12655""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028038","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M53238,M74815,M53233,M10569,M15496""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028049","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028053,M2495,M61240""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028049","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M53331""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028061","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M2495,M61240""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028061","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028049,M1028062""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028062","others","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M2495,M61240""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028062","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M1028049,M1028061""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
"M1028095","up-selling","{""condition"":""AND"",""rules"":[{""condition"":null,""rules"":{},""id"":""product_sku"",""field"":""product_sku"",""type"":""string"",""input"":""text"",""operator"":""in"",""value"":""M302,M75601,M74972,M74974,M1000786,M1000838,M1000839,M1000840,M1006484""}],""id"":null,""field"":null,""type"":null,""input"":null,""operator"":null,""value"":null}"
