attribute_key,is_super
mit_huelle_erweiterbar,0
schultergurt_vorhanden,0
sichtfenster_vorhanden,0
konzepthalter_vorhanden,0
zentrierhilfe_vorhanden,0
ein_ausschalter_vorhanden,1
schraegkontakte_vorhanden,0
handgelenkauflage_vorhanden,0
beschriftungsschild_vorhanden,0
neigbare_tragplatte_vorhanden,0
neigungsverstellung_vorhanden,0
ueberspannungsschutz_vorhanden,0
batterien_im_lieferumfang_enthalten,0
tastatureinschub_tastaturfach_vorhanden,0
verwendung_mit_usb_version,0
art_des_anschlusses,0
papierausfuehrung,0
ausfuehrung_der_bindung,0
typbezeichnung_der_perforation,0
material_des_einbandes,0
wischfest,0
abwischbar,0
wasserfest,1
nachfuellbar,0
schreibfarbe,0
dokumentenecht,1
farbe_des_clips,0
inkjet_geeignet,0
lichtpausfaehig,0
schaft_lackiert,0
kappe_umsteckbar,0
schnelltrocknend,0
original_zubehoer,0
Mine_auswechselbar,0
ausfuehrung_griffe,1
farbe_des_schaftes,0
spitze_austauschbar,0
mine_federnd_gelagert,0
Radierer_auswechselbar,0
schattenfrei_kopierbar,0
spitze_voll_versenkbar,0
druckmechanik_vorhanden,0
geeignet_fuer_Schablone,0
lichtbestaendig_gegeben,0
iso_kennzeichnung_vorhanden,0
zertifikate_und_zulassungenv2,1
ausfuehrung_der_vorschubmechanik,0
haertegradkennzeichnung_vorhanden,0
lackierung_auf_wasserbasis_gegeben,0
technik_zur_minenrestreduzierung_vorhanden,0
kann_einige_tage_offen_bleiben_ohne_auszutrocknen,0
werkstoff,1
einstecktaschen,0
greifausschnitt_vorhanden,0
transparenter_vorderdeckel_vorhanden,0
kombiradierer,0
minenbuechse_vorhanden,0
aufhaengeloch_vorhanden,0
millimeterfacette_vorhanden,0
farbig_hinterlegte_winkelgrade_vorhanden,0
deckel,1
gefuellt,0
auszugsperre,0
Lieferung_gefaltet,0
klammern_vorhanden,0
griffloch_vorhanden_,0
zertifikate_und_zulassungen,0
aao963,0
baa351,1
baf505,0
technik_des_tintenspeichers,0
ausfuehrung_behaelter,0
ausfuehrung_der_schaftform,0
verpackung,0
ablagebrett,1
magnethaftend,0
tafel_beschreibbar,0
ablageschale_vorhanden,0
ausfuehrung_fuss,1
aaf631,0
aao847,1
art_der_betaetigung,0
verwendbares_schnittgut,0
reissverschluss_vorhanden,0
verschlussart,1
radausfuehrung,1
ausfuehrung_deckel,1
sitzflachen-_u_lehnenmaterial,1
ve_pces,1
ausfuhrung_sitzschale,0
polsterung,0
bezugsfarbe,1
gesamtbreite_mm,1
gesamthohe_mm,1
gesamttiefe_mm,1
sitzflachen-u_lehnenfarbe,1
mindestbestellmenge,1
armlehnenausfuehrung,1
tuerfarbe,1
korpusfarbe,1
tuerart,1
fachbodenfarbe,1
innenausstattung,1
zerkleinerungsart,1
sicherheitsstufe_nach_din_66399,1
geeignet_zur_vernichtung_von_cds,1
geeignet_zur_vernichtung_von_kreditkarten,1
tafelfarbe,1
plattenfarbe,1
tischplattenmaterial,1
sitzflaechen_u_lehnenfarbe,1
fenster_vorhanden,1
papierformat,1
ausfuehrung_der_lineatur,1
auswaschbar,1
radierer_vorhanden,1
material_des_schaftes,1
spitze_druckgesichert,1
form,1
ausfuehrung_der_spitze,1
schnittart,1
fachbodenmaterial,1
aac868,1
ablagenfarbe,1
frontfarbe,1
lastrollenausfuehrung,1
abheftvorrichtung_vorhanden,1
organisationsaufdruck_vorhanden,1
ausstattung,1
bremsenausfuehrung,1
ablagenmaterial,1
waehrung,1
tretmechanismus,1
