key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translations.en_US,value_translations.de_DE
zertifikate_und_zulassungenv2,text,yes,no,,zertifikate_und_zulassungenv2,zertifikate_und_zulassungenv2,,
reissverschluss_vorhanden,text,yes,no,,reissverschluss_vorhanden,reissverschluss_vorhanden,,
verschlussart,text,yes,no,,verschlussart,verschlussart,,
radausfuehrung,text,yes,no,,radausfuehrung,radausfuehrung,,
ausfuehrung_deckel,text,yes,no,,ausfuehrung_deckel,ausfuehrung_deckel,,
ruckenlehnenhohe_mm,text,yes,no,,ruckenlehnenhohe_mm,ruckenlehnenhohe_mm,,
ausfuhrung_sitzschale,text,yes,no,,ausfuhrung_sitzschale,ausfuhrung_sitzschale,,
polsterung,text,yes,no,,polsterung,polsterung,,
sitzflachen-_u_lehnenmaterial,text,yes,no,,sitzflachen-_u_lehnenmaterial,sitzflachen-_u_lehnenmaterial,,
bezugsfarbe,text,yes,no,,bezugsfarbe,bezugsfarbe,,
gesamtbreite_mm,text,yes,no,,gesamtbreite_mm,gesamtbreite_mm,,
gesamthohe_mm,text,yes,no,,gesamthohe_mm,gesamthohe_mm,,
gesamttiefe_mm,text,yes,no,,gesamttiefe_mm,gesamttiefe_mm,,
zerkleinerungsart,text,yes,no,,zerkleinerungsart,zerkleinerungsart,,
packaging_unit,text,no,no,"Item,5-pack,10-pack,Box",Packaging unit,Verpackungseinheit,,
