abstract_sku,old_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US
M1014646,,464004,Paletthubwagen - V2A-Edelstahl - Tragfähigkeit 2000 kg,Paletthubwagen - V2A-Edelstahl - Tragfähigkeit 2000 kg,,,1,1,,,mindestbestellmenge,1,mindestbestellmenge,1,mindestbestellmenge,1
M1014629,,463994,"EUROKRAFT Paletthubwagen mit QuickLift, blau - Räder Polyurethan - Gabellänge 900 mm","EUROKRAFT Paletthubwagen mit QuickLift, blau - Räder Polyurethan - Gabellänge 900 mm",,,1,1,,,gabellange_mm,900,gabellange_mm,900,gabellange_mm,900
M1014656,,464007,Paletthubwagen mit Waage - Tragfähigkeit 2000 kg - Räder Polyurethan,Paletthubwagen mit Waage - Tragfähigkeit 2000 kg - Räder Polyurethan,,,1,1,,,mindestbestellmenge,1,mindestbestellmenge,1,mindestbestellmenge,1
M1000840,,212447,"HSM Aktenvernichter SECURIO - für Großraumbüro, 205 l - Partikel, 39 – 41 Blatt","HSM Aktenvernichter SECURIO - für Großraumbüro, 205 l - Partikel, 39 – 41 Blatt"," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. "," HSM Securio in Verkehrsweiß RAL 9016. – Multifunktionstaste, Reversiertaste und eingebaute Tastensperre<br/>– Auto-Reversierung bei Papierstau<br/>– Füllstandsanzeige durch Sichtfenster<br/>– Automatischer Öler für die Schneidwerke bei Partikelschnittgeräten<br/><B>Mit EMCS (Energy Management Control System)</B><br/>Bis zu 90% Energie sparen gegenüber herkömmlicher Stand-by-Schaltung.<br/><B>Abschalten in zwei Stufen:</B><br/>– 2 Minuten nach Gebrauch schaltet das Gerät automatisch in den energiesparenden Schlafmodus<br/>– 1 Stunde nach Gebrauch schaltet das Gerät automatisch komplett aus<br/>Über Nacht und an Wochenenden wird somit kein Strom verbraucht.<br/>Mit <B>PAPERcontrol</B> zur Prüfung der maximalen Papiermenge und Vermeidung von Papierstaus. ",1,1,,,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel
M1014948,,101509,Smit Visual Flipchart - für Doppel-Schienensystem - HxB 1000 x 700 mm,Smit Visual Flipchart - für Doppel-Schienensystem - HxB 1000 x 700 mm,"Höhenverstellbare Arbeitsfläche aus Stahlblech 700 x 1000 mm, magnethaftend, trocken abwischbar. Aufhängepunkte der Flipchartklemme verstellbar, somit für alle handelsüblichen Flipchartblöcke passend. Tafelrahmen aus weiß beschichtetem Aluminium.<br/><br/><B>Ob an nur einer Wand oder im ganzen Raum, dieses System macht es möglich.</B><br/>Die einzelnen Komponenten werden einfach ein- bzw. ausgehängt. Das Doppelschienen-System ermöglicht ein leichtgängiges Übereinanderschieben der Tafeln. Spezielle Abstandshalter halten sie stets senkrecht und erschütterungsfrei.<p>","Höhenverstellbare Arbeitsfläche aus Stahlblech 700 x 1000 mm, magnethaftend, trocken abwischbar. Aufhängepunkte der Flipchartklemme verstellbar, somit für alle handelsüblichen Flipchartblöcke passend. Tafelrahmen aus weiß beschichtetem Aluminium.<br/><br/><B>Ob an nur einer Wand oder im ganzen Raum, dieses System macht es möglich.</B><br/>Die einzelnen Komponenten werden einfach ein- bzw. ausgehängt. Das Doppelschienen-System ermöglicht ein leichtgängiges Übereinanderschieben der Tafeln. Spezielle Abstandshalter halten sie stets senkrecht und erschütterungsfrei.<p>",1,1,,,tafelfarbe,weiß,tafelfarbe,weiß,tafelfarbe,weiß
M1896,,506670,Wolf Garderobe - lichtgrau RAL 7035 - mit 20 Kleiderbügeln,Wolf Garderobe - lichtgrau RAL 7035 - mit 20 Kleiderbügeln,"Stabile, geschweißte Stahlblechkonstruktion, einbrennlackiert. Hutboden mit Rückwand, darunter Kleiderstange aus Ovalrohr schwarz, kunststoffbeschichtet. Buchenholzkleiderbügel schwarz mit vernickeltem Standardhaken.<p>","Stabile, geschweißte Stahlblechkonstruktion, einbrennlackiert. Hutboden mit Rückwand, darunter Kleiderstange aus Ovalrohr schwarz, kunststoffbeschichtet. Buchenholzkleiderbügel schwarz mit vernickeltem Standardhaken.<p>",1,1,,,fahrbar,Nein,fahrbar,Nein,fahrbar,Nein
M856,,508165,Wolf Stahlschrank - Unterkunftschrank mit Stollenfüßen - lichtblau RAL 5012,Wolf Stahlschrank - Unterkunftschrank mit Stollenfüßen - lichtblau RAL 5012," Geschweißtes, einbrennlackiertes Stahlblechgehäuse. Belüftung durch Lochbild in der Rückwand. <B>Innenausstattung</B><br/>Links: 4 Fachböden, fest eingeschweißt.<br/>Rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken.<br/><br/>Lüftungsschlitze, Drehriegel für Vorhängeschloss mit Bügelstärke 6 mm, Stollenfüße 150 mm hoch. "," Geschweißtes, einbrennlackiertes Stahlblechgehäuse. Belüftung durch Lochbild in der Rückwand. <B>Innenausstattung</B><br/>Links: 4 Fachböden, fest eingeschweißt.<br/>Rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken.<br/><br/>Lüftungsschlitze, Drehriegel für Vorhängeschloss mit Bügelstärke 6 mm, Stollenfüße 150 mm hoch. ",1,1,,,fahrbar,Nein,fahrbar,Nein,fahrbar,Nein
M1030133,,575284,"FRIWA Kunststoffschalenstuhl - Gestell verchromt - Sitzschale grau, VE 2 Stk","FRIWA Kunststoffschalenstuhl - Gestell verchromt - Sitzschale grau, VE 2 Stk"," Vielseitig verwendbar und platzsparend stapelbar.<br/>Sitzschale aus pflegeleichtem Polypropylen. Mit verstärktem Rand und Prägungen, rückseitig Verstärkungsstreben.<br/>Rundrohrgestell verchromt, Ø 16 / 2 mm.<br/><B>Sitzmaße</B><br/>Höhe x Breite x Tiefe 475 x 455 x 400 mm.<br/><B>Gesamtmaße</B><br/>Höhe x Breite x Tiefe 830 x 530 x 500 mm.  "," Vielseitig verwendbar und platzsparend stapelbar.<br/>Sitzschale aus pflegeleichtem Polypropylen. Mit verstärktem Rand und Prägungen, rückseitig Verstärkungsstreben.<br/>Rundrohrgestell verchromt, Ø 16 / 2 mm.<br/><B>Sitzmaße</B><br/>Höhe x Breite x Tiefe 475 x 455 x 400 mm.<br/><B>Gesamtmaße</B><br/>Höhe x Breite x Tiefe 830 x 530 x 500 mm.  ",1,1,,,sitzflaechen_u_lehnenfarbe,grau,sitzflaechen_u_lehnenfarbe,grau,sitzflaechen_u_lehnenfarbe,grau
M1028095,,574969,"IDEAL Aktenvernichter klein, SHREDCAT - Auffangvolumen 18 l - Partikelschnittart","IDEAL Aktenvernichter klein, SHREDCAT - Auffangvolumen 18 l - Partikelschnittart", Preiswerter Schreibtisch-Aktenvernichter mit automatischem Start / Stopp. Betriebsanzeige über LED.<br/>Automatischer Nullstrom-Verbrauch im EcoMode. Leiser und starker Motor.<br/>Schnittgutbehälter mit Sichtfenster als Füllstandsanzeige. Abschaltautomatik für sicheres Entleeren.  , Preiswerter Schreibtisch-Aktenvernichter mit automatischem Start / Stopp. Betriebsanzeige über LED.<br/>Automatischer Nullstrom-Verbrauch im EcoMode. Leiser und starker Motor.<br/>Schnittgutbehälter mit Sichtfenster als Füllstandsanzeige. Abschaltautomatik für sicheres Entleeren.  ,1,1,,,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel,zerkleinerungsart,Partikel
M21067,,420520,"Post-it Haftstreifen Index Symbol 680-31 25,4x43,2mm 50Blatt gelb","Post-it Haftstreifen Index Symbol 680-31 25,4x43,2mm 50Blatt gelb","Dank ihrer signalstarken, gelben Farbe sieht man die Symbolfähnchen auf einen Blick.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * Werkstoff: Polyester  * Farbe: gelb * 50 Bl.","Dank ihrer signalstarken, gelben Farbe sieht man die Symbolfähnchen auf einen Blick.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * Werkstoff: Polyester  * Farbe: gelb * 50 Bl.",1,1,,,,,,,,
M21189,,420685,Post-it Haftnotiz Super Sticky Meeting Notes 6445-4SS 4 St./Pack.,Post-it Haftnotiz Super Sticky Meeting Notes 6445-4SS 4 St./Pack.,"Dank der Super Sticky Formel haften die Post-it® Super Sticky Meeting Notes sicher, auf praktisch allen Oberflächen.<p>* Grammatur: 74 g/m² * elementar chlorfrei gebleicht * rückstandsfrei entfernbar * mehrfach verwendbar * Werkstoff: Primärfaserpapier * Farbe: 1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb * 45 Bl./Block * 4 Block/Pack.","Dank der Super Sticky Formel haften die Post-it® Super Sticky Meeting Notes sicher, auf praktisch allen Oberflächen.<p>* Grammatur: 74 g/m² * elementar chlorfrei gebleicht * rückstandsfrei entfernbar * mehrfach verwendbar * Werkstoff: Primärfaserpapier * Farbe: 1 x neongrün,  1 x neonorange, 1 x ultrapink, 1 x ultragelb * 45 Bl./Block * 4 Block/Pack.",1,1,,,,,,,,
M21190,,420687,Post-it Haftstreifen Index Strong 686-F1EU 4Blatt sortiert 4 St./Pack,Post-it Haftstreifen Index Strong 686-F1EU 4Blatt sortiert 4 St./Pack," Die flachen Post-it® Index Strong, mit ihrem weißen Schriftfeld, sind ideal für Ordner - individuelle Register lassen sich schnell erstellen.  "," Die flachen Post-it® Index Strong, mit ihrem weißen Schriftfeld, sind ideal für Ordner - individuelle Register lassen sich schnell erstellen.  ",1,1,,,,,,,,
M21191,,420689,Post-it Haftstreifen Index Standard 680ROYEU 20Blatt farbig 3 St./Pack,Post-it Haftstreifen Index Standard 680ROYEU 20Blatt farbig 3 St./Pack,"Haftstreifen Index Standard. Signalstark, mit transparentem, beschriftbarem Klebeteil, selbsthaftend, ablösbar, immer wieder verwendbar, im transparenten Etui.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * Werkstoff: Polyester * 20 Bl./Block * 3 Block/Pack.","Haftstreifen Index Standard. Signalstark, mit transparentem, beschriftbarem Klebeteil, selbsthaftend, ablösbar, immer wieder verwendbar, im transparenten Etui.<p>* Maße: 25,4 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * Werkstoff: Polyester * 20 Bl./Block * 3 Block/Pack.",1,1,,,,,,,,
M21193,,420691,Post-it Heftstreifen Index Mini Promotion 683-VAD1 farbig +2 684,Post-it Heftstreifen Index Mini Promotion 683-VAD1 farbig +2 684,"Mit diesem Vorteilspack sind Sie perfekt zum Markieren und Strukturieren ausgerüstet. Verschiedenfarbige Post-it® Haftstreifen Index Mini sorgen für ein schnelles Wiederfinden von Informationen. Die extraschmalen Haftstreifen markieren wichtige Stellen in Ihren Dokumenten, Büchern oder Katalogen. Dank ihrer signalstarken Farben sieht man die Markierungsfähnchen auf einen Blick.<p>* Maße: 11,9 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * inkl. 2 x 24 Haftstreifen Post-it® Index Pfeile gratis * Werkstoff: Polyester * Farbe: rot, gelb, grün, blau, lemon, lila, pink, türkis * 35 Bl./Block * 10 Block/Pack.","Mit diesem Vorteilspack sind Sie perfekt zum Markieren und Strukturieren ausgerüstet. Verschiedenfarbige Post-it® Haftstreifen Index Mini sorgen für ein schnelles Wiederfinden von Informationen. Die extraschmalen Haftstreifen markieren wichtige Stellen in Ihren Dokumenten, Büchern oder Katalogen. Dank ihrer signalstarken Farben sieht man die Markierungsfähnchen auf einen Blick.<p>* Maße: 11,9 x 43,2 mm (B x H) * beschriftbar * mehrfach verwendbar * inkl. 2 x 24 Haftstreifen Post-it® Index Pfeile gratis * Werkstoff: Polyester * Farbe: rot, gelb, grün, blau, lemon, lila, pink, türkis * 35 Bl./Block * 10 Block/Pack.",1,1,,,,,,,,
M21638,,421248,Oxford Collegeblock Activebook 100101421 DIN A4 kariert 90Blatt,Oxford Collegeblock Activebook 100101421 DIN A4 kariert 90Blatt,"Satiniertes Papier (Optik Paper), hochweiß. Zweifarbiger Polypropylen-Deckel, flexibel und strapazierfähig. Farbig sortiert (blau, grün, rot, violett und grau). Mit elegantem Metallic-Effekt.<p>* DIN A4 * Grammatur: 90 g/m² * elementar chlorfrei gebleicht * Doppelspiralbindung * inkl. Lesezeichenlineal * Material des Einbandes: Polypropylen * 90 Bl.","Satiniertes Papier (Optik Paper), hochweiß. Zweifarbiger Polypropylen-Deckel, flexibel und strapazierfähig. Farbig sortiert (blau, grün, rot, violett und grau). Mit elegantem Metallic-Effekt.<p>* DIN A4 * Grammatur: 90 g/m² * elementar chlorfrei gebleicht * Doppelspiralbindung * inkl. Lesezeichenlineal * Material des Einbandes: Polypropylen * 90 Bl.",1,1,,,papierformat,DIN A4,papierformat,DIN A4,papierformat,DIN A4
M21646,,421261,"BIC Mehrfarbkugelschreiber 4 Colours 831253 0,4mm bl/sw/r/gn","BIC Mehrfarbkugelschreiber 4 Colours 831253 0,4mm bl/sw/r/gn","Farbige Drücker für eine einfache Farbauswahl. Schreiblänge nach SGS-Schreiblängentest durchschnittlich 8 km. Dokumentenecht sind die Schreibfarben rot, schwarz und blau.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: 4 Colours Mine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: schwarz * 4 Minen","Farbige Drücker für eine einfache Farbauswahl. Schreiblänge nach SGS-Schreiblängentest durchschnittlich 8 km. Dokumentenecht sind die Schreibfarben rot, schwarz und blau.<p>* Strichstärke: 0,4 mm * rot, blau, grün, schwarz * Typbezeichnung der Mine: 4 Colours Mine * Mine auswechselbar * Druckmechanik * Material des Schaftes: Kunststoff * Farbe des Schaftes: schwarz * 4 Minen",1,1,,,auswaschbar,Nein,auswaschbar,Nein,auswaschbar,Nein
M21692,,421344,Clairefontaine Collegeblock 8272C DIN A5 90Blatt kariert,Clairefontaine Collegeblock 8272C DIN A5 90Blatt kariert,,,1,1,,,papierformat,DIN A5,papierformat,DIN A5,papierformat,DIN A5
M21693,,421345,Clairefontaine Collegeblock 8275C DIN A5 90Blatt liniert,Clairefontaine Collegeblock 8275C DIN A5 90Blatt liniert,,,1,1,,,papierformat,DIN A5,papierformat,DIN A5,papierformat,DIN A5
M21759,,421511,Parker Kugelschreiber URBAN Premium S0911450 M Mine blau,Parker Kugelschreiber URBAN Premium S0911450 M Mine blau,,,1,1,,,,,,,,
M21773,,421533,"rotring Tuschefüller rapidograph S0203150 1903476 0,18mm rot","rotring Tuschefüller rapidograph S0203150 1903476 0,18mm rot","Kapillarpatrone mit optimalem Druckausgleich.<p>* Schreibfarbe: schwarz * Typbezeichnung der Tintenpatrone: Kapillarpatrone * Verwendung für Zeichnungsträger: Papier, Karton, Transparentpapier  * Spitze austauschbar * mit ISO-Kennzeichnung","Kapillarpatrone mit optimalem Druckausgleich.<p>* Schreibfarbe: schwarz * Typbezeichnung der Tintenpatrone: Kapillarpatrone * Verwendung für Zeichnungsträger: Papier, Karton, Transparentpapier  * Spitze austauschbar * mit ISO-Kennzeichnung",1,1,,,kombiradierer,Nein,kombiradierer,Nein,kombiradierer,Nein
M21774,,421534,"rotring Multifunktionsstift Tikky 3 in 1 Multipen FM 0,5 mm sw/rot","rotring Multifunktionsstift Tikky 3 in 1 Multipen FM 0,5 mm sw/rot",,,1,1,,,,,,,,
M21779,,421540,Veloflex Tischflipchart 4132280 DIN A3 quer 4Ringe 10Hüllen schwarz,Veloflex Tischflipchart 4132280 DIN A3 quer 4Ringe 10Hüllen schwarz,,,1,1,,,,,,,,
